,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
382,upernavik,GL,72.79,-56.15,-4.6,100.0,92.0,10.42
383,sibolga,ID,1.74,98.78,21.45,100.0,56.0,0.72
384,charlestown,US,41.38,-71.64,13.0,100.0,90.0,4.1
385,kuruman,ZA,-27.46,23.43,13.95,53.0,0.0,1.72
386,saleaula,,,,,,,
387,bocaranga,,,,,,,
388,anaconda,US,46.13,-112.94,6.0,48.0,1.0,2.1
389,stanesti,RO,43.92,25.83,8.0,93.0,0.0,2.52
390,vila velha,BR,-3.71,-38.6,27.0,74.0,40.0,3.6
391,boshnyakovo,RU,49.65,142.17,6.38,96.0,76.0,6.12
392,orotukan,RU,62.26,151.67,-8.8,74.0,0.0,1.22
393,faya,SA,18.39,42.45,16.0,93.0,0.0,1.52
394,petatlan,MX,17.52,-101.27,30.0,70.0,75.0,2.6
395,portland,US,45.52,-122.67,15.0,100.0,90.0,3.1
396,odder,DK,55.98,10.15,1.0,100.0,64.0,1
397,sorland,NO,67.67,12.69,5.3,100.0,92.0,5.27
398,labuhan,ID,-2.54,115.51,24.88,91.0,32.0,1.32
399,marcona,,,,,,,
400,tabou,CI,4.42,-7.36,27.43,100.0,0.0,3.67
401,wanning,AT,48.64,13.53,7.0,75.0,90.0,6.7
402,khandyga,RU,62.65,135.58,-13.73,92.0,8.0,1.67
403,manta,RO,45.1,24.1,6.28,79.0,12.0,1.62
404,ahipara,NZ,-35.17,173.16,16.7,88.0,80.0,5.02
405,evensk,RU,61.92,159.24,0.0,100.0,36.0,2.22
406,sonkovo,RU,57.78,37.16,0.68,99.0,92.0,4.17
407,tual,ID,-5.67,132.75,27.83,100.0,0.0,2.42
408,salinopolis,BR,-0.61,-47.36,28.18,92.0,76.0,5.57
409,rio gallegos,AR,-51.62,-69.22,12.0,50.0,0.0,3.57
410,serik,TR,36.92,31.1,13.0,66.0,0.0,2.6
411,celestun,MX,20.87,-90.4,27.2,100.0,0.0,9.12
